Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-06-03T04:00:00.000Z,200.7391470663,203.1518034041,200.3503308634,202.6533203125,46381600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-04T04:00:00.000Z,202.2944046988,205.6143037964,201.4868645531,202.2046813965,43604000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-05T04:00:00.000Z,202.8826044105,204.1288120543,199.5427618401,200.0213165283,55126100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-06T04:00:00.000Z,202.3841235561,205.0759290535,201.437008779,203.3013305664,46607700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-09T04:00:00.000Z,203.7699042318,205.3750202901,199.4131671645,200.8388214111,72862600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-10T04:00:00.000Z,199.9914179623,203.7300410657,199.9615101945,202.0551300049,54672600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-11T04:00:00.000Z,202.8826069992,203.879573127,197.8080530599,198.1769256592,60989900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-12T04:00:00.000Z,198.4760262766,199.0741968491,196.761243253,198.5956573486,43904600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-13T04:00:00.000Z,199.1240517745,199.7621095241,195.1062792679,195.8540039062,51447300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-16T04:00:00.000Z,196.7014264502,198.0872088044,195.9636660152,197.8180236816,43020700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-17T04:00:00.000Z,196.6017278208,197.78812001,194.6177748569,195.0464630127,38856200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-18T04:00:00.000Z,195.3455391094,196.9705987124,194.4781834746,195.9835968018,45394700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-20T04:00:00.000Z,197.6385916836,201.0880863339,196.2627734129,200.3902130127,96813500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-23T04:00:00.000Z,201.0182823378,201.6862478083,198.3563846401,200.888671875,55814300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-24T04:00:00.000Z,201.9753521214,202.8227793644,199.5926038267,199.6923065186,54064000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-25T04:00:00.000Z,200.8388194477,203.0520854249,200.0113357524,200.9484863281,39525700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-26T04:00:00.000Z,200.8189011913,202.0252370278,198.854891706,200.3902130127,50799100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-27T04:00:00.000Z,201.2775109128,202.6034778199,199.3932453527,200.4699707031,73188600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-06-30T04:00:00.000Z,201.3971146284,206.7607970676,198.6554578773,204.5475311279,91912800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-01T04:00:00.000Z,206.0429939515,209.5523190855,205.514603105,207.1895141602,78788900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-02T04:00:00.000Z,208.2761972389,212.6927498795,207.5085290617,211.7954864502,67941800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-07-03T04:00:00.000Z,211.506353193,213.9987684567,211.1673883681,212.9021148682,34955800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
